#物种	OrgDB	学名	species_ID
按蚊（Anopheles）	org.Ag.eg.db	Anopheles_gambiae	7165
拟南芥（Arabidopsis）	org.At.tair.db	Arabidopsis_thaliana	3702
牛（Brovine）	org.Bt.eg.db	Bos_taurus	9913
蠕虫（Worm）	org.Ce.eg.db	Caenorhabditis_elegans	6239
苍蝇（Fly）	org.Dm.eg.db	Drosophila_melanogaster	7227
斑马鱼（Zebrafish）	org.Dr.eg.db	Danio_rerio	7955
鸡（Chicken）	org.Gg.eg.db	Gallus_gallus	9031
人（Humanm）	org.Hs.eg.db	Homo_sapiens	9606
小鼠（Mouse）	org.Mm.eg.db	Mus_musculus	10090
黑猩猩（Chimp）	org.Pt.eg.db	Pan_troglodytes	9598
大鼠，褐家鼠（Rat）	org.Rn.eg.db	Rattus_norvegicus	10116
酵母（Yeast）	org.Sc.sgd.db	Saccharomyces_cerevisiae	4932
猪（Pig）	org.Ss.eg.db	Sus_scrofa	9823
